Any,Codi_Barri,Nom_Barri,Valor,CODI_BARRI_DEST
2003,1,el Raval,1843,1
2003,1,el Raval,157,2
2003,1,el Raval,90,3
2003,1,el Raval,145,4
2003,1,el Raval,57,5
2003,1,el Raval,62,6
2003,1,el Raval,47,7
2003,1,el Raval,69,8
2003,1,el Raval,95,9
2003,1,el Raval,235,10
2003,1,el Raval,375,11
2003,1,el Raval,..,12
2003,1,el Raval,51,13
2003,1,el Raval,19,14
2003,1,el Raval,55,15
2003,1,el Raval,46,16
2003,1,el Raval,31,17
2003,1,el Raval,75,18
2003,1,el Raval,47,19
2003,1,el Raval,11,20
2003,1,el Raval,..,21
2003,1,el Raval,7,22
2003,1,el Raval,16,23
2003,1,el Raval,7,24
2003,1,el Raval,15,25
2003,1,el Raval,30,26
2003,1,el Raval,31,27
2003,1,el Raval,16,28
2003,1,el Raval,11,29
2003,1,el Raval,7,30
2003,1,el Raval,57,31
2003,1,el Raval,29,32
2003,1,el Raval,19,33
2003,1,el Raval,8,34
2003,1,el Raval,32,35
2003,1,el Raval,5,36
2003,1,el Raval,46,37
2003,1,el Raval,31,38
2003,1,el Raval,..,39
2003,1,el Raval,8,40
2003,1,el Raval,..,41
2003,1,el Raval,13,43
2003,1,el Raval,23,44
2003,1,el Raval,17,45
2003,1,el Raval,13,46
2003,1,el Raval,14,48
2003,1,el Raval,5,49
2003,1,el Raval,26,50
2003,1,el Raval,11,51
2003,1,el Raval,21,52
2003,1,el Raval,29,53
2003,1,el Raval,33,55
2003,1,el Raval,..,56
2003,1,el Raval,24,57
2003,1,el Raval,..,58
2003,1,el Raval,11,59
2003,1,el Raval,46,60
2003,1,el Raval,32,61
2003,1,el Raval,10,62
2003,1,el Raval,17,63
2003,1,el Raval,60,64
2003,1,el Raval,30,65
2003,1,el Raval,22,66
2003,1,el Raval,5,67
2003,1,el Raval,37,68
2003,1,el Raval,6,69
2003,1,el Raval,54,70
2003,1,el Raval,21,71
2003,1,el Raval,26,72
2003,1,el Raval,12,73
2003,2,el Barri Gòtic,556,1
2003,2,el Barri Gòtic,322,2
2003,2,el Barri Gòtic,65,3
2003,2,el Barri Gòtic,155,4
2003,2,el Barri Gòtic,45,5
2003,2,el Barri Gòtic,69,6
2003,2,el Barri Gòtic,88,7
2003,2,el Barri Gòtic,54,8
2003,2,el Barri Gòtic,80,9
2003,2,el Barri Gòtic,82,10
2003,2,el Barri Gòtic,237,11
2003,2,el Barri Gòtic,..,12
2003,2,el Barri Gòtic,38,13
2003,2,el Barri Gòtic,20,14
2003,2,el Barri Gòtic,42,15
2003,2,el Barri Gòtic,23,16
2003,2,el Barri Gòtic,36,17
2003,2,el Barri Gòtic,93,18
2003,2,el Barri Gòtic,32,19
2003,2,el Barri Gòtic,20,20
2003,2,el Barri Gòtic,5,21
2003,2,el Barri Gòtic,21,22
2003,2,el Barri Gòtic,17,23
2003,2,el Barri Gòtic,15,25
2003,2,el Barri Gòtic,25,26
2003,2,el Barri Gòtic,28,27
2003,2,el Barri Gòtic,24,28
2003,2,el Barri Gòtic,..,29
2003,2,el Barri Gòtic,15,30
2003,2,el Barri Gòtic,84,31
2003,2,el Barri Gòtic,56,32
2003,2,el Barri Gòtic,27,33
2003,2,el Barri Gòtic,8,34
2003,2,el Barri Gòtic,35,35
2003,2,el Barri Gòtic,7,36
2003,2,el Barri Gòtic,43,37
2003,2,el Barri Gòtic,23,38
2003,2,el Barri Gòtic,12,39
2003,2,el Barri Gòtic,..,40
2003,2,el Barri Gòtic,..,41
2003,2,el Barri Gòtic,13,43
2003,2,el Barri Gòtic,29,44
2003,2,el Barri Gòtic,33,45
2003,2,el Barri Gòtic,43,46
2003,2,el Barri Gòtic,24,48
2003,2,el Barri Gòtic,5,49
2003,2,el Barri Gòtic,21,50
2003,2,el Barri Gòtic,19,51
2003,2,el Barri Gòtic,37,52
2003,2,el Barri Gòtic,15,53
2003,2,el Barri Gòtic,..,54
2003,2,el Barri Gòtic,30,55
2003,2,el Barri Gòtic,..,56
2003,2,el Barri Gòtic,24,57
2003,2,el Barri Gòtic,8,59
2003,2,el Barri Gòtic,45,60
2003,2,el Barri Gòtic,26,61
2003,2,el Barri Gòtic,33,62
